Timestamp,Raw Distance (cm),Smoothed Distance (cm)
1750625799.9188716,38.45,38.45
1750625800.028872,37.59,38.02
1750625800.135238,37.49,37.843333333333334
1750625800.2435987,37.59,37.78
1750625800.35045,37.58,37.74
1750625800.5626886,38.45,37.74
1750625800.6716626,37.59,37.74
1750625800.7807262,37.49,37.74
1750625800.8957512,37.59,37.74
1750625801.0003264,37.58,37.74
1750625801.1137822,37.54,37.558
1750625801.223445,37.54,37.548
1750625801.3321147,37.44,37.538
1750625801.442043,37.54,37.528
1750625801.5532713,37.56,37.524
1750625801.665049,37.95,37.606
1750625801.7732737,37.85,37.668
1750625801.8832302,37.54,37.688
1750625801.99205,37.54,37.688
1750625802.0976982,37.54,37.684
1750625802.212631,37.44,37.582
1750625802.3291261,37.54,37.519999999999996
1750625802.431411,37.54,37.519999999999996
1750625802.544337,37.54,37.519999999999996
1750625802.647181,37.46,37.504
1750625802.761507,37.56,37.528
1750625802.8690267,37.54,37.528
1750625802.978817,37.56,37.532000000000004
1750625803.087155,37.56,37.536
1750625803.1968045,37.56,37.556000000000004
1750625803.3050969,37.54,37.552
1750625803.4144368,37.54,37.552
1750625803.5171666,37.54,37.548
1750625803.6389818,37.13,37.462
1750625803.7626407,37.15,37.38
1750625803.8759205,37.44,37.36
1750625803.9798772,37.54,37.36
1750625804.089109,37.54,37.36
1750625804.1987445,37.54,37.442
1750625804.302326,37.44,37.5
1750625804.4041772,37.56,37.524
1750625804.5169332,37.95,37.606
1750625804.6240196,37.56,37.61
1750625804.7370315,37.85,37.672000000000004
1750625804.8406842,37.95,37.774
1750625804.9471233,37.95,37.852000000000004
1750625805.0565066,37.95,37.852000000000004
1750625805.1644554,37.44,37.828
1750625805.2697155,37.54,37.766
1750625805.3825612,37.95,37.766
1750625805.4928784,37.49,37.674
1750625805.5955184,37.44,37.572
1750625805.6968992,37.54,37.592
1750625805.7983446,37.54,37.592
1750625805.9006143,37.95,37.592
1750625806.0049374,37.85,37.664
1750625806.1081438,37.95,37.766
1750625806.209725,37.49,37.756
1750625806.312617,37.49,37.746
1750625806.4148102,37.39,37.634
